ID,R,G,B,Saturação,Claros,Escuros,Textura,Circularidade,ehBom
0,43,40,39,26.26528662420382,0,5511,17.149566877858398,0.8206457820856524,1
1,101,98,94,18.69918699186992,0,0,21.932707574481693,0.002389795046772009,1
2,32,30,31,19.79594472426708,0,7206,16.458695482265494,0.8175052783506737,1
3,33,32,32,17.466183574879228,0,6061,18.418811653881455,0.8332467920198415,1
4,46,45,43,19.81548069644209,0,4324,22.250091616569954,0.8595287839028126,1
5,97,96,92,17.359649122807017,0,4,21.41541048157104,0.0042869568216995805,1
6,91,90,87,15.210169491525424,0,18,27.963459556751452,0.002883003718234467,1
7,102,100,96,15.472560975609756,0,0,20.044257805408034,0.0014011672596565663,1
8,34,32,32,18.217298187808897,0,5622,16.802938448501,0.8553133756121805,1
9,106,106,102,12.362264150943396,0,1,18.297815536281547,0.0035096349165150624,1
10,45,43,40,26.960812772133526,0,4585,25.184946704322755,0.8304594303308922,1
11,35,33,33,23.920510304219825,0,5515,17.239951068369525,0.8308197223607497,1
12,39,34,32,42.65287539936102,0,5586,18.4168761251829,0.7991658955617073,1
13,96,94,91,15.659400544959128,0,5,20.464605909563574,0.0016053976449067198,1
14,42,41,40,16.85356780520798,0,5215,17.556597734500325,0.8550869182703393,1
15,95,95,92,11.144329896907216,0,0,19.798184655012374,0.0027554827280202743,1
16,27,25,25,27.06237698713096,0,6271,15.03232961891658,0.8108937650542037,1
17,27,26,26,17.966346629713946,0,9597,15.4525400585959,0.8084356692483483,1
18,31,29,29,24.155028107432855,0,7542,15.911001057949187,0.8042927113394193,1
19,36,35,34,21.85684244581042,0,5592,18.104227005466512,0.7859574730463559,1
20,98,96,92,17.258160237388726,0,13,24.87754050525089,0.002861326030588404,1
21,99,94,90,22.494880546075084,0,7,22.189382982998584,0.0028710992456130267,1
22,83,80,78,16.113636363636363,0,9,20.521741477716674,0.005379262982630563,1
23,43,42,41,16.197081462475946,0,5404,16.395360202981582,0.8303957290940106,1
24,104,104,99,12.89308176100629,0,1,22.290589426099448,0.005167017471113793,1
25,27,24,25,24.670207852193997,0,8254,14.403230053178232,0.8329680623742782,1
26,101,102,98,9.36111111111111,0,0,24.7706756372889,0.0018342287167390603,1
27,29,29,29,6.544348090673969,0,6153,17.389190525356554,0.8259766415597277,1
28,34,31,31,29.918480492813142,0,4426,17.162642900273433,0.8177936015431965,1
29,36,36,36,8.314242270653827,0,5234,16.936264139377645,0.8215126881783099,1
30,35,35,34,9.181233062330623,0,5436,17.71169410576802,0.8285830301099479,1
31,36,34,34,17.95947350190509,0,5174,17.675839113561764,0.8474621223198495,1
32,98,96,93,12.931297709923664,0,3,22.104744267477667,0.0018149886897545137,1
33,33,30,30,25.21902945033981,0,7682,16.405192719743876,0.8395965664458522,1
34,38,32,31,50.72799412196914,0,6346,16.850669377341916,0.8270636660514302,1
35,33,32,32,8.131521342575702,0,5119,15.949042782424268,0.8213611571638741,1
